"DateTime","Daily PRC"
"2026-04-12 00:00:06",5723
"2026-04-12 00:00:14",5723
"2026-04-12 00:00:26",5658
"2026-04-12 00:00:34",5658
"2026-04-12 00:00:46",5655
"2026-04-12 00:00:54",5666
"2026-04-12 00:01:06",5679
"2026-04-12 00:01:14",5691
"2026-04-12 00:01:26",5694
"2026-04-12 00:01:34",5694
"2026-04-12 00:01:46",5707
"2026-04-12 00:01:54",5714
"2026-04-12 00:02:06",5731
"2026-04-12 00:02:14",5778
"2026-04-12 00:02:26",5790
"2026-04-12 00:02:34",5790
"2026-04-12 00:02:46",5798
"2026-04-12 00:02:54",5786
"2026-04-12 00:03:06",5829
"2026-04-12 00:03:14",5835
"2026-04-12 00:03:26",5851
"2026-04-12 00:03:34",5851
"2026-04-12 00:03:46",5859
"2026-04-12 00:03:54",5870
"2026-04-12 00:04:06",5870
"2026-04-12 00:04:14",5878
"2026-04-12 00:04:26",5894
"2026-04-12 00:04:34",5894
"2026-04-12 00:04:46",5905
"2026-04-12 00:04:54",5911
"2026-04-12 00:05:06",5895
"2026-04-12 00:05:14",5898
"2026-04-12 00:05:26",5891
"2026-04-12 00:05:34",5858
"2026-04-12 00:05:46",5860
"2026-04-12 00:05:54",5868
"2026-04-12 00:06:06",5860
"2026-04-12 00:06:14",5860
"2026-04-12 00:06:26",5861
"2026-04-12 00:06:34",5863
"2026-04-12 00:06:46",5866
"2026-04-12 00:06:54",5868
"2026-04-12 00:07:06",5860
"2026-04-12 00:07:14",5860
"2026-04-12 00:07:26",5858
"2026-04-12 00:07:34",5843
"2026-04-12 00:07:46",5838
"2026-04-12 00:07:54",5830
"2026-04-12 00:08:06",5819
"2026-04-12 00:08:14",5819
"2026-04-12 00:08:26",5811
"2026-04-12 00:08:34",5808
"2026-04-12 00:08:46",5786
"2026-04-12 00:08:54",5765
"2026-04-12 00:09:06",5749
"2026-04-12 00:09:14",5749
"2026-04-12 00:09:26",5747
"2026-04-12 00:09:34",5731
"2026-04-12 00:09:46",5718
"2026-04-12 00:09:54",5704
"2026-04-12 00:10:06",5699
"2026-04-12 00:10:14",5699
"2026-04-12 00:10:26",5697
"2026-04-12 00:10:34",5697
"2026-04-12 00:10:46",5710
"2026-04-12 00:10:54",5709
"2026-04-12 00:11:06",5706
"2026-04-12 00:11:14",5702
"2026-04-12 00:11:26",5729
"2026-04-12 00:11:34",5729
"2026-04-12 00:11:46",5749
"2026-04-12 00:11:54",5757
"2026-04-12 00:12:06",5752
"2026-04-12 00:12:14",5762
"2026-04-12 00:12:26",5747
"2026-04-12 00:12:34",5747
"2026-04-12 00:12:46",5740
"2026-04-12 00:12:54",5733
"2026-04-12 00:13:06",5741
"2026-04-12 00:13:14",5738
"2026-04-12 00:13:26",5737
"2026-04-12 00:13:34",5737
"2026-04-12 00:13:46",5731
"2026-04-12 00:13:54",5723
"2026-04-12 00:14:06",5724
"2026-04-12 00:14:14",5718
"2026-04-12 00:14:26",5709
"2026-04-12 00:14:34",5709
"2026-04-12 00:14:46",5694
"2026-04-12 00:14:54",5699
"2026-04-12 00:15:06",5694
"2026-04-12 00:15:14",5695
"2026-04-12 00:15:26",5717
"2026-04-12 00:15:34",5717
"2026-04-12 00:15:46",5718
"2026-04-12 00:15:54",5716
"2026-04-12 00:16:06",5721
"2026-04-12 00:16:14",5720
"2026-04-12 00:16:26",5736
"2026-04-12 00:16:34",5736
"2026-04-12 00:16:46",5742
"2026-04-12 00:16:54",5738
"2026-04-12 00:17:06",5740
"2026-04-12 00:17:14",5738
"2026-04-12 00:17:26",5739
"2026-04-12 00:17:34",5739
"2026-04-12 00:17:46",5740
"2026-04-12 00:17:54",5740
"2026-04-12 00:18:06",5743
"2026-04-12 00:18:14",5738
"2026-04-12 00:18:26",5731
"2026-04-12 00:18:34",5731
"2026-04-12 00:18:46",5727
"2026-04-12 00:18:54",5723
"2026-04-12 00:19:06",5728
"2026-04-12 00:19:14",5727
"2026-04-12 00:19:26",5727
"2026-04-12 00:19:34",5727
"2026-04-12 00:19:46",5722
"2026-04-12 00:19:54",5719
"2026-04-12 00:20:06",5717
"2026-04-12 00:20:14",5718
"2026-04-12 00:20:26",5723
"2026-04-12 00:20:34",5723
"2026-04-12 00:20:46",5724
"2026-04-12 00:20:54",5725
"2026-04-12 00:21:06",5717
"2026-04-12 00:21:14",5718
"2026-04-12 00:21:26",5717
"2026-04-12 00:21:34",5717
"2026-04-12 00:21:46",5717
"2026-04-12 00:21:54",5718
"2026-04-12 00:22:06",5721
"2026-04-12 00:22:14",5718
"2026-04-12 00:22:26",5730
"2026-04-12 00:22:34",5730
"2026-04-12 00:22:46",5724
"2026-04-12 00:22:54",5728
"2026-04-12 00:23:06",5725
"2026-04-12 00:23:14",5727
"2026-04-12 00:23:26",5728
"2026-04-12 00:23:34",5728
"2026-04-12 00:23:46",5719
"2026-04-12 00:23:54",5713
"2026-04-12 00:24:06",5721
"2026-04-12 00:24:14",5719
"2026-04-12 00:24:26",5708
"2026-04-12 00:24:34",5708
"2026-04-12 00:24:46",5709
"2026-04-12 00:24:54",5704
"2026-04-12 00:25:06",5696
"2026-04-12 00:25:14",5681
"2026-04-12 00:25:26",5682
"2026-04-12 00:25:34",5674
"2026-04-12 00:25:46",5673
"2026-04-12 00:25:54",5673
"2026-04-12 00:26:06",5677
"2026-04-12 00:26:14",5672
"2026-04-12 00:26:26",5669
"2026-04-12 00:26:34",5667
"2026-04-12 00:26:46",5668
"2026-04-12 00:26:54",5668
"2026-04-12 00:27:06",5667
"2026-04-12 00:27:14",5673
"2026-04-12 00:27:26",5675
"2026-04-12 00:27:34",5676
"2026-04-12 00:27:46",5670
"2026-04-12 00:27:54",5670
"2026-04-12 00:28:06",5669
"2026-04-12 00:28:14",5664
"2026-04-12 00:28:26",5665
"2026-04-12 00:28:34",5662
"2026-04-12 00:28:46",5663
"2026-04-12 00:28:54",5663
"2026-04-12 00:29:06",5657
"2026-04-12 00:29:14",5635
"2026-04-12 00:29:26",5652
"2026-04-12 00:29:34",5648
"2026-04-12 00:29:46",5632
"2026-04-12 00:29:54",5632
"2026-04-12 00:30:06",5652
"2026-04-12 00:30:14",5646
"2026-04-12 00:30:26",5642
"2026-04-12 00:30:34",5642
"2026-04-12 00:30:46",5646
"2026-04-12 00:30:54",5642
"2026-04-12 00:31:06",5645
"2026-04-12 00:31:14",5640
"2026-04-12 00:31:26",5627
"2026-04-12 00:31:34",5627
"2026-04-12 00:31:46",5644
"2026-04-12 00:31:54",5641
"2026-04-12 00:32:06",5627
"2026-04-12 00:32:14",5607
"2026-04-12 00:32:26",5613
"2026-04-12 00:32:34",5613
"2026-04-12 00:32:46",5623
"2026-04-12 00:32:54",5616
"2026-04-12 00:33:06",5613
"2026-04-12 00:33:14",5617
"2026-04-12 00:33:26",5615
"2026-04-12 00:33:34",5615
"2026-04-12 00:33:46",5617
"2026-04-12 00:33:54",5614
"2026-04-12 00:34:06",5601
"2026-04-12 00:34:14",5610
"2026-04-12 00:34:26",5601
"2026-04-12 00:34:34",5601
"2026-04-12 00:34:46",5597
"2026-04-12 00:34:54",5597
"2026-04-12 00:35:06",5587
"2026-04-12 00:35:14",5577
"2026-04-12 00:35:26",5543
"2026-04-12 00:35:34",5543
"2026-04-12 00:35:46",5525
"2026-04-12 00:35:54",5472
"2026-04-12 00:36:06",5517
"2026-04-12 00:36:14",5514
"2026-04-12 00:36:26",5513
"2026-04-12 00:36:34",5513
"2026-04-12 00:36:46",5509
"2026-04-12 00:36:54",5506
"2026-04-12 00:37:06",5498
"2026-04-12 00:37:14",5489
"2026-04-12 00:37:26",5484
"2026-04-12 00:37:34",5484
"2026-04-12 00:37:46",5467
"2026-04-12 00:37:54",5461
"2026-04-12 00:38:06",5453
"2026-04-12 00:38:14",5440
"2026-04-12 00:38:26",5439
"2026-04-12 00:38:34",5439
"2026-04-12 00:38:46",5427
"2026-04-12 00:38:54",5423
"2026-04-12 00:39:06",5420
"2026-04-12 00:39:14",5413
"2026-04-12 00:39:26",5405
"2026-04-12 00:39:34",5405
"2026-04-12 00:39:46",5405
